X,Y,Z
00001100001101010000, 00010010010011111000, 00011000011010100000
00001100001110010100, 00010010011000010010, 00011000011010100000
00001100001111011000, 00010010011100101100, 00011000011010100000
00001100010000011100, 00010010100001000111, 00011000011010100000
00001100010001100000, 00010010100101100001, 00011000011010100000
00001100010010100100, 00010010101001111100, 00011000011010100000
00001100010011101000, 00010010101110010110, 00011000011010100000
00001100010100101100, 00010010110010110001, 00011000011010100000
00001100010101110000, 00010010110111001011, 00011000011010100000
00001100010110110100, 00010010111011100101, 00011000011010100000
00001100010111111000, 00010011000000000000, 00011000011010100000
00001100011000111100, 00010011000100011010, 00011000011010100000
00001100011010000000, 00010011001000110101, 00011000011010100000
00001100011011000100, 00010011001101001111, 00011000011010100000
00001100011100001000, 00010011010001101010, 00011000011010100000
00001100011101001100, 00010011010110000100, 00011000011010100000
00001100011110010000, 00010011011010011111, 00011000011010100000
00001100100001010100, 00010011011110100011, 00011000011010100000
00001100100100011000, 00010011100010101000, 00011000011010100000
00001100100111011100, 00010011100110101101, 00011000011010100000
00001100101010100000, 00010011101010110010, 00011000011010100000
00001100101101100100, 00010011101110110111, 00011000011010100000
00001100110000101001, 00010011110010111100, 00011000011010100000
00001100110011101101, 00010011110111000001, 00011000011010100000
00001100110110110001, 00010011111011000110, 00011000011010100000
00001100111001110101, 00010011111111001011, 00011000011010100000
00001100111100111001, 00010100000011010000, 00011000011010100000
00001100111111111110, 00010100000111010101, 00011000011010100000
00001101000011000010, 00010100001011011010, 00011000011010100000
00001101000110000110, 00010100001111011111, 00011000011010100000
00001101001001001010, 00010100010011100100, 00011000011010100000
00001101001100001110, 00010100010111101001, 00011000011010100000
00001101001111010011, 00010100011011101110, 00011000011010100000
00001101010100000011, 00010100011111010000, 00011000011010100000
00001101011000110100, 00010100100010110010, 00011000011010100000
00001101011101100100, 00010100100110010101, 00011000011010100000
00001101100010010101, 00010100101001110111, 00011000011010100000
00001101100111000110, 00010100101101011001, 00011000011010100000
00001101101011110110, 00010100110000111100, 00011000011010100000
00001101110000100111, 00010100110100011110, 00011000011010100000
00001101110101011000, 00010100111000000001, 00011000011010100000
00001101111010001000, 00010100111011100011, 00011000011010100000
00001101111110111001, 00010100111111000101, 00011000011010100000
00001110000011101001, 00010101000010101000, 00011000011010100000
00001110001000011010, 00010101000110001010, 00011000011010100000
00001110001101001011, 00010101001001101100, 00011000011010100000
00001110010001111011, 00010101001101001111, 00011000011010100000
00001110010110101100, 00010101010000110001, 00011000011010100000
00001110011011011101, 00010101010100010100, 00011000011010100000
00001110100001100010, 00010101010111010000, 00011000011010100000
00001110100111101000, 00010101011010001101, 00011000011010100000
00001110101101101101, 00010101011101001010, 00011000011010100000
00001110110011110011, 00010101100000000111, 00011000011010100000
00001110111001111000, 00010101100011000100, 00011000011010100000
00001110111111111110, 00010101100110000000, 00011000011010100000
00001111000110000011, 00010101101000111101, 00011000011010100000
00001111001100001001, 00010101101011111010, 00011000011010100000
00001111010010001111, 00010101101110110111, 00011000011010100000
00001111011000010100, 00010101110001110100, 00011000011010100000
00001111011110011010, 00010101110100110000, 00011000011010100000
