X,Y,Z
00010010010011111000,00010010010011111000,00001001110001000000
00010010010011111000,00010010010011111000,00001001110001000000
00010010010011111000,00010010010011111000,00001001110001000000
00010010010011111000,00010010010011111000,00001001110001000000
00010010010011111000,00010010010011111000,00001001110001000000
00010010010011111000,00010010010011111000,00001001110001000000
00010010100100111000,00010011011010011111,00001001110001000000
00010011000100111011,00010011010101000111,00001001110001000000
00010011100000000010,00010011001100011110,00001001110001000000
00010011110101010001,00010011000011000101,00001001110001000000
00010011000011011111,00010010000111101001,00001001110001000000
00010011000011011111,00010010000111101001,00011010110110110000
00010011000100101110,00010010001000101011,00011010110110110000
00010011000101110100,00010010001001100110,00011010110110110000
00010011000110110001,00010010001010011011,00011010110110110000
00010001000011000010,00010001101001101101,00011010110110110000
00010001010110100010,00010001100100010000,00011010110110110000
00010001101101011000,00010001011111110010,00011010110110110000
00010010000110101111,00010001011101001101,00011010110110110000
00010011101001111111,00010011000010010101,00011010110110110000
00010011111011010100,00010010111011001110,00011010110110110000
00010100001000101101,00010010110100110110,00011010110110110000
00010100010010111101,00010010101111011011,00011010110110110000
00010010111101100110,00010010001111101001,00011010110110110000
00010010111101110100,00010010001111110111,00011010110110110000
00010010111110000000,00010010010000000101,00011010110110110000
00010010111110001100,00010010010000010001,00011010110110110000
00010000011001101101,00010001111010000111,00011010110110110000
00010000100011100010,00010001110101110110,00011010110110110000
00010000101111110110,00010001110001000001,00011010110110110000
00010000111111001011,00010001101011110011,00011010110110110000
00010011101000100101,00010001101011110011,00011010110110110000
00010011110111111010,00010001110001000001,00011010110110110000
00010100000100001110,00010001110101110110,00011010110110110000
00010100001110000011,00010001111010000111,00011010110110110000
00010001101001100100,00010010010000010001,00011010110110110000
00010001101001110000,00010010010000000101,00011010110110110000
00010001101001111100,00010010001111110111,00011010110110110000
00010001101010001010,00010010001111101001,00011010110110110000
00010000010100110011,00010010101111011011,00011010110110110000
00010000011111000011,00010010110100110110,00011010110110110000
00010000101100011100,00010010111011001110,00011010110110110000
00010000111101110001,00010011000010010101,00011010110110110000
00010010100001000001,00010001011101001101,00011010110110110000
00010010111010011000,00010001011111110010,00011010110110110000
00010011010001001110,00010001100100010000,00011010110110110000
00010011100100101110,00010001101001101101,00011010110110110000
00010001100000111111,00010010001010011011,00011010110110110000
00010001100001111100,00010010001001100110,00011010110110110000
00010001100011000010,00010010001000101011,00011010110110110000
00010001100100010001,00010010000111101001,00011010110110110000
00001111100110010101,00010011111011101011,00011010110110110000
00010001010001110101,00010100011011101111,00011010110110110000
00010011010101111011,00010100011011101111,00011010110110110000
00010101000001011011,00010011111011101011,00011010110110110000
00010010010011111000,00010010010011111000,00011010110110110000
00010010010011111000,00010010010011111000,00011010110110110000
00010010010011111000,00010010010011111000,00011010110110110000
00010010010011111000,00010010010011111000,00011010110110110000
00010010010011111000,00010010010011111000,00001001110001000000
00010010010011111000,00010010010011111000,00001001110001000000
