         ps       /tl_tb/tb_dut/x_servo                     /tl_tb/tb_dut/z_servo      
          delta                        /tl_tb/tb_dut/y_servo                           
 2050033100  +4    00001110100101111100 00010101011111111101 00011010110110110000 
 2062533300  +4    00001110101000111111 00010101011111010001 00011010110110110000 
 2075033500  +3    00001110101000111111 00010101011111010001 00001001110001000000 
 2075033500  +4    00001110101100000010 00010101011110100100 00001001110001000000 
 2087533700  +4    00001110101111001010 00010101011101111011 00001001110001000000 
 2100033900  +4    00001110110010010010 00010101011101010001 00001001110001000000 
 2112534100  +4    00001110110101011010 00010101011100101000 00001001110001000000 
 2125034300  +4    00001110111000100001 00010101011011111111 00001001110001000000 
 2137534500  +4    00001110111011101001 00010101011011010110 00001001110001000000 
 2150034700  +4    00001110111110110001 00010101011010101101 00001001110001000000 
 2162534900  +4    00001111000001111001 00010101011010000100 00001001110001000000 
 2175035100  +4    00001111000101000000 00010101011001011011 00001001110001000000 
 2187535300  +4    00001111001000001000 00010101011000110010 00001001110001000000 
 2200035500  +4    00001111001011010000 00010101011000001000 00001001110001000000 
 2212535700  +4    00001111001110011000 00010101010111011111 00001001110001000000 
 2225035900  +4    00001111010001011111 00010101010110110110 00001001110001000000 
 2237536100  +4    00001111010100100111 00010101010110001101 00001001110001000000 
 2250036300  +4    00001111010111101111 00010101010101100100 00001001110001000000 
 2262536500  +4    00001111011010110111 00010101010100111011 00001001110001000000 
 2275036700  +4    00001111011110000010 00010101010100010101 00001001110001000000 
 2287536900  +4    00001111100001001110 00010101010011101111 00001001110001000000 
 2300037100  +4    00001111100100011001 00010101010011001001 00001001110001000000 
 2312537300  +4    00001111100111100101 00010101010010100100 00001001110001000000 
 2325037500  +4    00001111101010110000 00010101010001111110 00001001110001000000 
 2337537700  +4    00001111101101111100 00010101010001011000 00001001110001000000 
 2350037900  +4    00001111110001001000 00010101010000110010 00001001110001000000 
 2362538100  +4    00001111110100010011 00010101010000001100 00001001110001000000 
 2375038300  +4    00001111110111011111 00010101001111100111 00001001110001000000 
 2387538500  +4    00001111111010101010 00010101001111000001 00001001110001000000 
 2400038700  +4    00001111111101110110 00010101001110011011 00001001110001000000 
 2412538900  +4    00010000000001000001 00010101001101110101 00001001110001000000 
 2425039100  +4    00010000000100001101 00010101001101001111 00001001110001000000 
 2437539300  +4    00010000000111011000 00010101001100101001 00001001110001000000 
 2450039500  +4    00010000001010100100 00010101001100000100 00001001110001000000 
 2462539700  +4    00010000000101100001 00010101001001011011 00001001110001000000 
 2475039900  +4    00010000000000011101 00010101000110110010 00001001110001000000 
 2487540100  +4    00001111111011011010 00010101000100001010 00001001110001000000 
 2500040300  +4    00001111110110010111 00010101000001100001 00001001110001000000 
 2512540500  +4    00001111110001010011 00010100111110111000 00001001110001000000 
 2525040700  +4    00001111101100010000 00010100111100010000 00001001110001000000 
 2537540900  +4    00001111100111001100 00010100111001100111 00001001110001000000 
 2550041100  +4    00001111100010001001 00010100110110111110 00001001110001000000 
 2562541300  +4    00001111011101000110 00010100110100010101 00001001110001000000 
 2575041500  +4    00001111011000000010 00010100110001101101 00001001110001000000 
 2587541700  +4    00001111010010111111 00010100101111000100 00001001110001000000 
 2600041900  +4    00001111001101111100 00010100101100011011 00001001110001000000 
 2612542100  +4    00001111001000111000 00010100101001110011 00001001110001000000 
 2625042300  +4    00001111000011110101 00010100100111001010 00001001110001000000 
 2637542500  +4    00001110111110110001 00010100100100100001 00001001110001000000 
 2650042700  +4    00001110111010111100 00010100100001100011 00001001110001000000 
 2662542900  +4    00001110110111000111 00010100011110100100 00001001110001000000 
 2675043100  +4    00001110110011010001 00010100011011100110 00001001110001000000 
 2687543300  +4    00001110101111011100 00010100011000100111 00001001110001000000 
 2700043500  +4    00001110101011100111 00010100010101101001 00001001110001000000 
 2712543700  +4    00001110100111110001 00010100010010101010 00001001110001000000 
 2725043900  +4    00001110100011111100 00010100001111101100 00001001110001000000 
 2737544100  +4    00001110100000000110 00010100001100101101 00001001110001000000 
 2750044300  +4    00001110011100010001 00010100001001101111 00001001110001000000 
 2762544500  +4    00001110011000011100 00010100000110110000 00001001110001000000 
 2775044700  +4    00001110010100100110 00010100000011110010 00001001110001000000 
 2787544900  +4    00001110010000110001 00010100000000110011 00001001110001000000 
 2800045100  +4    00001110001100111100 00010011111101110101 00001001110001000000 
 2812545300  +4    00001110001001000110 00010011111010110110 00001001110001000000 
 2825045500  +4    00001110000101010001 00010011110111111000 00001001110001000000 
 2837545700  +4    00001110000010110111 00010011110100100111 00001001110001000000 
 2850045900  +4    00001110000000011101 00010011110001010111 00001001110001000000 
 2862546100  +4    00001101111110000011 00010011101110000111 00001001110001000000 
 2875046300  +4    00001101111011101001 00010011101010110110 00001001110001000000 
 2887546500  +4    00001101111001001111 00010011100111100110 00001001110001000000 
 2900046700  +4    00001101110110110101 00010011100100010110 00001001110001000000 
 2912546900  +4    00001101110100011011 00010011100001000101 00001001110001000000 
 2925047100  +4    00001101110010000001 00010011011101110101 00001001110001000000 
 2937547300  +4    00001101101111100111 00010011011010100100 00001001110001000000 
 2950047500  +4    00001101101101001101 00010011010111010100 00001001110001000000 
 2962547700  +4    00001101101010110011 00010011010100000100 00001001110001000000 
 2975047900  +4    00001101101000011001 00010011010000110011 00001001110001000000 
 2987548100  +4    00001101100101111111 00010011001101100011 00001001110001000000 
 3000048300  +4    00001101100011100101 00010011001010010011 00001001110001000000 
 3012548500  +4    00001101100001001011 00010011000111000010 00001001110001000000 
 3025048700  +4    00001101100000010110 00010011000011101000 00001001110001000000 
 3037548900  +4    00001101011111100010 00010011000000001101 00001001110001000000 
 3050049100  +4    00001101011110101101 00010010111100110010 00001001110001000000 
 3062549300  +4    00001101011101111001 00010010111001010111 00001001110001000000 
 3075049500  +4    00001101011101000100 00010010110101111101 00001001110001000000 
 3087549700  +4    00001101011100001111 00010010110010100010 00001001110001000000 
 3100049900  +4    00001101011011011011 00010010101111000111 00001001110001000000 
 3112550100  +4    00001101011010100110 00010010101011101101 00001001110001000000 
 3125050300  +4    00001101011001110010 00010010101000010010 00001001110001000000 
 3137550500  +4    00001101011000111101 00010010100100110111 00001001110001000000 
 3150050700  +4    00001101011000001001 00010010100001011101 00001001110001000000 
 3162550900  +4    00001101010111010100 00010010011110000010 00001001110001000000 
 3175051100  +4    00001101010110011111 00010010011010100111 00001001110001000000 
 3187551300  +4    00001101010101101011 00010010010111001101 00001001110001000000 
 3200051500  +4    00001101010100110110 00010010010011110010 00001001110001000000 
 3212551700  +4    00001101011010001111 00010010010110101100 00001001110001000000 
 3225051900  +4    00001101011111100111 00010010011001100110 00001001110001000000 
 3237552100  +4    00001101100101000000 00010010011100011111 00001001110001000000 
 3250052300  +4    00001101101010011000 00010010011111011001 00001001110001000000 
 3262552500  +4    00001101101111110001 00010010100010010011 00001001110001000000 
 3275052700  +4    00001101110101001001 00010010100101001101 00001001110001000000 
 3287552900  +4    00001101111010100001 00010010101000000111 00001001110001000000 
 3300053100  +4    00001101111111111010 00010010101011000000 00001001110001000000 
 3312553300  +4    00001110000101010010 00010010101101111010 00001001110001000000 
 3325053500  +4    00001110001010101011 00010010110000110100 00001001110001000000 
 3337553700  +4    00001110010000000011 00010010110011101110 00001001110001000000 
