X,Y,Z
00001011011001110000, 00010100110011000100, 00011010110110110000
00001011011110100001, 00010100110110100110, 00011010110110110000
00001011100011010001, 00010100111010001000, 00011010110110110000
00001011101000000010, 00010100111101101011, 00011010110110110000
00001011101100110010, 00010101000001001101, 00011010110110110000
00001011110001100011, 00010101000100101111, 00011010110110110000
00001011110110010100, 00010101001000010010, 00011010110110110000
00001011111100011001, 00010101001011001111, 00011010110110110000
00001100000010011111, 00010101001110001011, 00011010110110110000
00001100001000100100, 00010101010001001000, 00011010110110110000
00001100001110101010, 00010101010100000101, 00011010110110110000
00001100010100110000, 00010101010111000010, 00011010110110110000
00001100011010110101, 00010101011001111111, 00011010110110110000
00001100100000111011, 00010101011100111011, 00011010110110110000
00001100100111000000, 00010101011111111000, 00011010110110110000
00001100101101000110, 00010101100010110101, 00011010110110110000
00001100110011001011, 00010101100101110010, 00011010110110110000
00001100111001010001, 00010101101000101111, 00011010110110110000
00001100111111010110, 00010101101011101100, 00011010110110110000
00001101000101011100, 00010101101110101000, 00011010110110110000
00001101001011100010, 00010101110001100101, 00011010110110110000
00001101010001100111, 00010101110100100010, 00011010110110110000
00001101010100100110, 00010101110011110001, 00011010110110110000
00001101010111100100, 00010101110011000000, 00011010110110110000
00001101011010100010, 00010101110010001111, 00011010110110110000
00001101011101100001, 00010101110001011110, 00011010110110110000
00001101100000011111, 00010101110000101101, 00011010110110110000
00001101100011011110, 00010101101111111100, 00011010110110110000
00001101100110011100, 00010101101111001011, 00011010110110110000
00001101101001011011, 00010101101110011010, 00011010110110110000
00001101101100011001, 00010101101101101010, 00011010110110110000
00001101101111011000, 00010101101100111001, 00011010110110110000
00001101110010010110, 00010101101100001000, 00011010110110110000
00001101110101010100, 00010101101011010111, 00011010110110110000
00001101111000010011, 00010101101010100110, 00011010110110110000
00001101111011010001, 00010101101001110101, 00011010110110110000
00001101111110010000, 00010101101001000100, 00011010110110110000
00001110000001010011, 00010101101000010111, 00011010110110110000
00001110000100010110, 00010101100111101010, 00011010110110110000
00001110000111011010, 00010101100110111101, 00011010110110110000
00001110001010011101, 00010101100110010001, 00011010110110110000
00001110001101100001, 00010101100101100100, 00011010110110110000
00001110010000100100, 00010101100100110111, 00011010110110110000
00001110010011100111, 00010101100100001010, 00011010110110110000
00001110010110101011, 00010101100011011101, 00011010110110110000
00001110011001101110, 00010101100010110001, 00011010110110110000
00001110011100110001, 00010101100010000100, 00011010110110110000
00001110011111110101, 00010101100001010111, 00011010110110110000
00001110100010111000, 00010101100000101010, 00011010110110110000
00001110100101111100, 00010101011111111101, 00011010110110110000
00001110101000111111, 00010101011111010001, 00011010110110110000
00001110101000111111, 00010101011111010001, 00001001110001000000
00001110101100000010, 00010101011110100100, 00001001110001000000
00001110101111001010, 00010101011101111011, 00001001110001000000
00001110110010010010, 00010101011101010001, 00001001110001000000
00001110110101011010, 00010101011100101000, 00001001110001000000
00001110111000100001, 00010101011011111111, 00001001110001000000
00001110111011101001, 00010101011011010110, 00001001110001000000
00001110111110110001, 00010101011010101101, 00001001110001000000
00001111000001111001, 00010101011010000100, 00001001110001000000
00001111000101000000, 00010101011001011011, 00001001110001000000
00001111001000001000, 00010101011000110010, 00001001110001000000
00001111001011010000, 00010101011000001000, 00001001110001000000
00001111001110011000, 00010101010111011111, 00001001110001000000
00001111010001011111, 00010101010110110110, 00001001110001000000
00001111010100100111, 00010101010110001101, 00001001110001000000
00001111010111101111, 00010101010101100100, 00001001110001000000
00001111011010110111, 00010101010100111011, 00001001110001000000
00001111011110000010, 00010101010100010101, 00001001110001000000
00001111100001001110, 00010101010011101111, 00001001110001000000
00001111100100011001, 00010101010011001001, 00001001110001000000
00001111100111100101, 00010101010010100100, 00001001110001000000
00001111101010110000, 00010101010001111110, 00001001110001000000
00001111101101111100, 00010101010001011000, 00001001110001000000
00001111110001001000, 00010101010000110010, 00001001110001000000
00001111110100010011, 00010101010000001100, 00001001110001000000
00001111110111011111, 00010101001111100111, 00001001110001000000
00001111111010101010, 00010101001111000001, 00001001110001000000
00001111111101110110, 00010101001110011011, 00001001110001000000
00010000000001000001, 00010101001101110101, 00001001110001000000
00010000000100001101, 00010101001101001111, 00001001110001000000
00010000000111011000, 00010101001100101001, 00001001110001000000
00010000001010100100, 00010101001100000100, 00001001110001000000
00010000000101100001, 00010101001001011011, 00001001110001000000
00010000000000011101, 00010101000110110010, 00001001110001000000
00001111111011011010, 00010101000100001010, 00001001110001000000
00001111110110010111, 00010101000001100001, 00001001110001000000
00001111110001010011, 00010100111110111000, 00001001110001000000
00001111101100010000, 00010100111100010000, 00001001110001000000
00001111100111001100, 00010100111001100111, 00001001110001000000
00001111100010001001, 00010100110110111110, 00001001110001000000
00001111011101000110, 00010100110100010101, 00001001110001000000
00001111011000000010, 00010100110001101101, 00001001110001000000
00001111010010111111, 00010100101111000100, 00001001110001000000
00001111001101111100, 00010100101100011011, 00001001110001000000
00001111001000111000, 00010100101001110011, 00001001110001000000
00001111000011110101, 00010100100111001010, 00001001110001000000
00001110111110110001, 00010100100100100001, 00001001110001000000
00001110111010111100, 00010100100001100011, 00001001110001000000
00001110110111000111, 00010100011110100100, 00001001110001000000
00001110110011010001, 00010100011011100110, 00001001110001000000
00001110101111011100, 00010100011000100111, 00001001110001000000
00001110101011100111, 00010100010101101001, 00001001110001000000
00001110100111110001, 00010100010010101010, 00001001110001000000
00001110100011111100, 00010100001111101100, 00001001110001000000
00001110100000000110, 00010100001100101101, 00001001110001000000
00001110011100010001, 00010100001001101111, 00001001110001000000
00001110011000011100, 00010100000110110000, 00001001110001000000
00001110010100100110, 00010100000011110010, 00001001110001000000
00001110010000110001, 00010100000000110011, 00001001110001000000
00001110001100111100, 00010011111101110101, 00001001110001000000
00001110001001000110, 00010011111010110110, 00001001110001000000
00001110000101010001, 00010011110111111000, 00001001110001000000
00001110000010110111, 00010011110100100111, 00001001110001000000
00001110000000011101, 00010011110001010111, 00001001110001000000
00001101111110000011, 00010011101110000111, 00001001110001000000
00001101111011101001, 00010011101010110110, 00001001110001000000
00001101111001001111, 00010011100111100110, 00001001110001000000
00001101110110110101, 00010011100100010110, 00001001110001000000
00001101110100011011, 00010011100001000101, 00001001110001000000
00001101110010000001, 00010011011101110101, 00001001110001000000
00001101101111100111, 00010011011010100100, 00001001110001000000
00001101101101001101, 00010011010111010100, 00001001110001000000
00001101101010110011, 00010011010100000100, 00001001110001000000
00001101101000011001, 00010011010000110011, 00001001110001000000
00001101100101111111, 00010011001101100011, 00001001110001000000
00001101100011100101, 00010011001010010011, 00001001110001000000
00001101100001001011, 00010011000111000010, 00001001110001000000
00001101100000010110, 00010011000011101000, 00001001110001000000
00001101011111100010, 00010011000000001101, 00001001110001000000
00001101011110101101, 00010010111100110010, 00001001110001000000
00001101011101111001, 00010010111001010111, 00001001110001000000
00001101011101000100, 00010010110101111101, 00001001110001000000
00001101011100001111, 00010010110010100010, 00001001110001000000
00001101011011011011, 00010010101111000111, 00001001110001000000
00001101011010100110, 00010010101011101101, 00001001110001000000
00001101011001110010, 00010010101000010010, 00001001110001000000
00001101011000111101, 00010010100100110111, 00001001110001000000
00001101011000001001, 00010010100001011101, 00001001110001000000
00001101010111010100, 00010010011110000010, 00001001110001000000
00001101010110011111, 00010010011010100111, 00001001110001000000
00001101010101101011, 00010010010111001101, 00001001110001000000
00001101010100110110, 00010010010011110010, 00001001110001000000
00001101011010001111, 00010010010110101100, 00001001110001000000
00001101011111100111, 00010010011001100110, 00001001110001000000
00001101100101000000, 00010010011100011111, 00001001110001000000
00001101101010011000, 00010010011111011001, 00001001110001000000
00001101101111110001, 00010010100010010011, 00001001110001000000
00001101110101001001, 00010010100101001101, 00001001110001000000
00001101111010100001, 00010010101000000111, 00001001110001000000
00001101111111111010, 00010010101011000000, 00001001110001000000
00001110000101010010, 00010010101101111010, 00001001110001000000
00001110001010101011, 00010010110000110100, 00001001110001000000
00001110010000000011, 00010010110011101110, 00001001110001000000
00001110010101011100, 00010010110110101000, 00001001110001000000
00001110011010110100, 00010010111001100001, 00001001110001000000
00001110100000001100, 00010010111100011011, 00001001110001000000
00001110100101100101, 00010010111111010101, 00001001110001000000
00001110101100000011, 00010011000001110010, 00001001110001000000
00001110110010100000, 00010011000100010000, 00001001110001000000
00001110111000111110, 00010011000110101101, 00001001110001000000
00001110111111011100, 00010011001001001011, 00001001110001000000
00001111000101111010, 00010011001011101000, 00001001110001000000
00001111001100010111, 00010011001110000101, 00001001110001000000
00001111010010110101, 00010011010000100011, 00001001110001000000
00001111011001010011, 00010011010011000000, 00001001110001000000
00001111011111110001, 00010011010101011101, 00001001110001000000
00001111100110001110, 00010011010111111011, 00001001110001000000
00001111101100101100, 00010011011010011000, 00001001110001000000
00001111110011001010, 00010011011100110110, 00001001110001000000
00001111111001101000, 00010011011111010011, 00001001110001000000
00010000000000000101, 00010011100001110000, 00001001110001000000
00010000000110100011, 00010011100100001110, 00001001110001000000
00010000001101110110, 00010011100110010010, 00001001110001000000
00010000010101001010, 00010011101000010101, 00001001110001000000
00010000011100011101, 00010011101010011001, 00001001110001000000
00010000100011110000, 00010011101100011101, 00001001110001000000
00010000101011000100, 00010011101110100001, 00001001110001000000
00010000110010010111, 00010011110000100101, 00001001110001000000
00010000111001101010, 00010011110010101001, 00001001110001000000
00010001000000111110, 00010011110100101101, 00001001110001000000
00010001001000010001, 00010011110110110001, 00001001110001000000
00010001001111100100, 00010011111000110100, 00001001110001000000
00010001010110111000, 00010011111010111000, 00001001110001000000
00010001011110001011, 00010011111100111100, 00001001110001000000
00010001100101011110, 00010011111111000000, 00001001110001000000
00010001101100110010, 00010100000001000100, 00001001110001000000
00010001110100000101, 00010100000011001000, 00001001110001000000
00010001111100000001, 00010100000100110110, 00001001110001000000
00010010000011111101, 00010100000110100100, 00001001110001000000
00010010001011111010, 00010100001000010010, 00001001110001000000
00010010010011110110, 00010100001010000001, 00001001110001000000
00010010011011110010, 00010100001011101111, 00001001110001000000
00010010100011101111, 00010100001101011101, 00001001110001000000
00010010101011101011, 00010100001111001011, 00001001110001000000
00010010110011100111, 00010100010000111001, 00001001110001000000
00010010111011100100, 00010100010010101000, 00001001110001000000
00010011000011100000, 00010100010100010110, 00001001110001000000
00010011001011011100, 00010100010110000100, 00001001110001000000
00010011010011011001, 00010100010111110010, 00001001110001000000
00010011011011010101, 00010100011001100000, 00001001110001000000
00010011100011010001, 00010100011011001110, 00001001110001000000
00010011101011001110, 00010100011100111101, 00001001110001000000
00010011101101110100, 00010100011100101100, 00001001110001000000
00010011110000011011, 00010100011100011011, 00001001110001000000
00010011110011000010, 00010100011100001010, 00001001110001000000
00010011110101101001, 00010100011011111001, 00001001110001000000
00010011111000010000, 00010100011011101000, 00001001110001000000
00010011111010110111, 00010100011011010111, 00001001110001000000
00010011111101011110, 00010100011011000110, 00001001110001000000
00010100000000000101, 00010100011010110101, 00001001110001000000
00010100000010101011, 00010100011010100100, 00001001110001000000
00010100000101010010, 00010100011010010011, 00001001110001000000
00010100000111111001, 00010100011010000010, 00001001110001000000
00010100001010100000, 00010100011001110001, 00001001110001000000
00010100001101000111, 00010100011001100000, 00001001110001000000
00010100001111101110, 00010100011001010000, 00001001110001000000
00010100010010010101, 00010100011000111111, 00001001110001000000
00010100010100111100, 00010100011000101111, 00001001110001000000
00010100010111100100, 00010100011000011110, 00001001110001000000
00010100011010001100, 00010100011000001110, 00001001110001000000
00010100011100110100, 00010100010111111110, 00001001110001000000
00010100011111011011, 00010100010111101110, 00001001110001000000
00010100100010000011, 00010100010111011110, 00001001110001000000
00010100100100101011, 00010100010111001110, 00001001110001000000
00010100100111010011, 00010100010110111110, 00001001110001000000
00010100101001111010, 00010100010110101110, 00001001110001000000
00010100101100100010, 00010100010110011110, 00001001110001000000
00010100101111001010, 00010100010110001110, 00001001110001000000
00010100110001110010, 00010100010101111110, 00001001110001000000
00010100110100011001, 00010100010101101110, 00001001110001000000
00010100110111000001, 00010100010101011110, 00001001110001000000
00010100111001101001, 00010100010101001110, 00001001110001000000
00010100111100010001, 00010100010100111110, 00001001110001000000
00010100111110111010, 00010100010100101111, 00001001110001000000
00010101000001100010, 00010100010100100000, 00001001110001000000
00010101000100001011, 00010100010100010001, 00001001110001000000
00010101000110110011, 00010100010100000010, 00001001110001000000
00010101001001011100, 00010100010011110011, 00001001110001000000
00010101001100000100, 00010100010011100011, 00001001110001000000
00010101001110101101, 00010100010011010100, 00001001110001000000
00010101010001010101, 00010100010011000101, 00001001110001000000
00010101010011111110, 00010100010010110110, 00001001110001000000
00010101010110100110, 00010100010010100111, 00001001110001000000
00010101011001001111, 00010100010010010111, 00001001110001000000
00010101011011110111, 00010100010010001000, 00001001110001000000
00010101011110100000, 00010100010001111001, 00001001110001000000
00010101100001001000, 00010100010001101010, 00001001110001000000
00010101100011110010, 00010100010001011011, 00001001110001000000
00010101100110011011, 00010100010001001101, 00001001110001000000
00010101101001000100, 00010100010000111111, 00001001110001000000
00010101101011101101, 00010100010000110000, 00001001110001000000
00010101101110010111, 00010100010000100010, 00001001110001000000
00010101110001000000, 00010100010000010011, 00001001110001000000
00010101110011101001, 00010100010000000101, 00001001110001000000
00010101110110010010, 00010100001111110110, 00001001110001000000
00010101111000111100, 00010100001111101000, 00001001110001000000
00010101111011100101, 00010100001111011001, 00001001110001000000
00010101111110001110, 00010100001111001011, 00001001110001000000
00010110000000110111, 00010100001110111101, 00001001110001000000
00010110000011100001, 00010100001110101110, 00001001110001000000
00010110000110001010, 00010100001110100000, 00001001110001000000
00010110001000110011, 00010100001110010001, 00001001110001000000
00010110000001001010, 00010100001100101010, 00001001110001000000
00010101111001100010, 00010100001011000011, 00001001110001000000
00010101110001111001, 00010100001001011100, 00001001110001000000
00010101101010010000, 00010100000111110101, 00001001110001000000
00010101100010101000, 00010100000110001110, 00001001110001000000
00010101011010111111, 00010100000100100111, 00001001110001000000
00010101010011010110, 00010100000011000000, 00001001110001000000
00010101001011101110, 00010100000001011001, 00001001110001000000
00010101000100000101, 00010011111111110010, 00001001110001000000
00010100111100011100, 00010011111110001011, 00001001110001000000
00010100110100110100, 00010011111100100100, 00001001110001000000
00010100101101001011, 00010011111010111101, 00001001110001000000
00010100100101100010, 00010011111001010101, 00001001110001000000
00010100011101111010, 00010011110111101110, 00001001110001000000
00010100010110010001, 00010011110110000111, 00001001110001000000
00010100001111001111, 00010011110100001111, 00001001110001000000
00010100001000001110, 00010011110010010111, 00001001110001000000
00010100000001001101, 00010011110000011111, 00001001110001000000
00010011111010001011, 00010011101110100111, 00001001110001000000
00010011110011001010, 00010011101100101111, 00001001110001000000
00010011101100001001, 00010011101010110111, 00001001110001000000
00010011100101000111, 00010011101000111110, 00001001110001000000
00010011011110000110, 00010011100111000110, 00001001110001000000
00010011010111000100, 00010011100101001110, 00001001110001000000
00010011010000000011, 00010011100011010110, 00001001110001000000
00010011001001000010, 00010011100001011110, 00001001110001000000
00010011000010000000, 00010011011111100110, 00001001110001000000
00010010111010111111, 00010011011101101110, 00001001110001000000
00010010110011111110, 00010011011011110110, 00001001110001000000
00010010101100111100, 00010011011001111101, 00001001110001000000
00010010100110101100, 00010011010111110010, 00001001110001000000
00010010100000011100, 00010011010101100111, 00001001110001000000
00010010011010001100, 00010011010011011011, 00001001110001000000
00010010010011111100, 00010011010001010000, 00001001110001000000
00010010001101101100, 00010011001111000100, 00001001110001000000
00010010000111011011, 00010011001100111001, 00001001110001000000
00010010000001001011, 00010011001010101101, 00001001110001000000
00010001111010111011, 00010011001000100010, 00001001110001000000
00010001110100101011, 00010011000110010111, 00001001110001000000
00010001101110011011, 00010011000100001011, 00001001110001000000
00010001101000001011, 00010011000010000000, 00001001110001000000
00010001100001111011, 00010010111111110100, 00001001110001000000
00010001011011101011, 00010010111101101001, 00001001110001000000
00010001010101011010, 00010010111011011101, 00001001110001000000
00010001001111001010, 00010010111001010010, 00001001110001000000
00010001001001111000, 00010010110110110010, 00001001110001000000
00010001000100100101, 00010010110100010001, 00001001110001000000
00010000111111010010, 00010010110001110001, 00001001110001000000
00010000111001111111, 00010010101111010001, 00001001110001000000
00010000110100101100, 00010010101100110000, 00001001110001000000
00010000101111011001, 00010010101010010000, 00001001110001000000
00010000101010000111, 00010010100111110000, 00001001110001000000
00010000100100110100, 00010010100101001111, 00001001110001000000
00010000011111100001, 00010010100010101111, 00001001110001000000
00010000011010001110, 00010010100000001111, 00001001110001000000
00010000010100111011, 00010010011101101110, 00001001110001000000
00010000001111101001, 00010010011011001110, 00001001110001000000
00010000001010010110, 00010010011000101110, 00001001110001000000
00010000000101000011, 00010010010110001110, 00001001110001000000
00001111111111110000, 00010010010011101101, 00001001110001000000
00010000000101000011, 00010010010001001101, 00001001110001000000
00010000001010010110, 00010010001110101101, 00001001110001000000
00010000001111101001, 00010010001100001100, 00001001110001000000
00010000010100111011, 00010010001001101100, 00001001110001000000
00010000011010001110, 00010010000111001100, 00001001110001000000
00010000011111100001, 00010010000100101011, 00001001110001000000
00010000100100110100, 00010010000010001011, 00001001110001000000
00010000101010000111, 00010001111111101011, 00001001110001000000
00010000101111011001, 00010001111101001010, 00001001110001000000
00010000110100101100, 00010001111010101010, 00001001110001000000
00010000111001111111, 00010001111000001010, 00001001110001000000
00010000111111010010, 00010001110101101001, 00001001110001000000
00010001000100100101, 00010001110011001001, 00001001110001000000
00010001001001111000, 00010001110000101001, 00001001110001000000
00010001001111001010, 00010001101110001001, 00001001110001000000
00010001010101011010, 00010001101011111101, 00001001110001000000
00010001011011101011, 00010001101001110010, 00001001110001000000
00010001100001111011, 00010001100111100110, 00001001110001000000
00010001101000001011, 00010001100101011011, 00001001110001000000
00010001101110011011, 00010001100011001111, 00001001110001000000
00010001110100101011, 00010001100001000100, 00001001110001000000
00010001111010111011, 00010001011110111000, 00001001110001000000
00010010000001001011, 00010001011100101101, 00001001110001000000
00010010000111011011, 00010001011010100010, 00001001110001000000
00010010001101101100, 00010001011000010110, 00001001110001000000
00010010010011111100, 00010001010110001011, 00001001110001000000
00010010011010001100, 00010001010011111111, 00001001110001000000
00010010100000011100, 00010001010001110100, 00001001110001000000
00010010100110101100, 00010001001111101000, 00001001110001000000
00010010101100111100, 00010001001101011101, 00001001110001000000
00010010110011111110, 00010001001011100101, 00001001110001000000
00010010111010111111, 00010001001001101101, 00001001110001000000
00010011000010000000, 00010001000111110101, 00001001110001000000
00010011001001000010, 00010001000101111100, 00001001110001000000
00010011010000000011, 00010001000100000100, 00001001110001000000
00010011010111000100, 00010001000010001100, 00001001110001000000
00010011011110000110, 00010001000000010100, 00001001110001000000
00010011100101000111, 00010000111110011100, 00001001110001000000
00010011101100001001, 00010000111100100100, 00001001110001000000
00010011110011001010, 00010000111010101100, 00001001110001000000
00010011111010001011, 00010000111000110100, 00001001110001000000
00010100000001001101, 00010000110110111011, 00001001110001000000
00010100001000001110, 00010000110101000011, 00001001110001000000
00010100001111001111, 00010000110011001011, 00001001110001000000
00010100010110010001, 00010000110001010011, 00001001110001000000
00010100011101111010, 00010000101111101100, 00001001110001000000
00010100100101100010, 00010000101110000101, 00001001110001000000
00010100101101001011, 00010000101100011110, 00001001110001000000
00010100110100110100, 00010000101010110111, 00001001110001000000
00010100111100011100, 00010000101001010000, 00001001110001000000
00010101000100000101, 00010000100111101001, 00001001110001000000
00010101001011101110, 00010000100110000010, 00001001110001000000
00010101010011010110, 00010000100100011011, 00001001110001000000
00010101011010111111, 00010000100010110100, 00001001110001000000
00010101100010101000, 00010000100001001100, 00001001110001000000
00010101101010010000, 00010000011111100101, 00001001110001000000
00010101110001111001, 00010000011101111110, 00001001110001000000
00010101111001100010, 00010000011100010111, 00001001110001000000
00010110000001001010, 00010000011010110000, 00001001110001000000
00010110001000110011, 00010000011001001001, 00001001110001000000
00010110000110001010, 00010000011000111011, 00001001110001000000
00010110000011100001, 00010000011000101100, 00001001110001000000
00010110000000110111, 00010000011000011110, 00001001110001000000
00010101111110001110, 00010000011000001111, 00001001110001000000
00010101111011100101, 00010000011000000001, 00001001110001000000
00010101111000111100, 00010000010111110011, 00001001110001000000
00010101110110010010, 00010000010111100100, 00001001110001000000
00010101110011101001, 00010000010111010110, 00001001110001000000
00010101110001000000, 00010000010111000111, 00001001110001000000
00010101101110010111, 00010000010110111001, 00001001110001000000
00010101101011101101, 00010000010110101010, 00001001110001000000
00010101101001000100, 00010000010110011100, 00001001110001000000
00010101100110011011, 00010000010110001101, 00001001110001000000
00010101100011110010, 00010000010101111111, 00001001110001000000
00010101100001001000, 00010000010101110001, 00001001110001000000
00010101011110100000, 00010000010101100001, 00001001110001000000
00010101011011110111, 00010000010101010010, 00001001110001000000
00010101011001001111, 00010000010101000011, 00001001110001000000
00010101010110100110, 00010000010100110100, 00001001110001000000
00010101010011111110, 00010000010100100101, 00001001110001000000
00010101010001010101, 00010000010100010101, 00001001110001000000
00010101001110101101, 00010000010100000110, 00001001110001000000
00010101001100000100, 00010000010011110111, 00001001110001000000
00010101001001011100, 00010000010011101000, 00001001110001000000
00010101000110110011, 00010000010011011001, 00001001110001000000
00010101000100001011, 00010000010011001010, 00001001110001000000
00010101000001100010, 00010000010010111010, 00001001110001000000
00010100111110111010, 00010000010010101011, 00001001110001000000
00010100111100010001, 00010000010010011100, 00001001110001000000
00010100111001101001, 00010000010010001101, 00001001110001000000
00010100110111000001, 00010000010001111101, 00001001110001000000
00010100110100011001, 00010000010001101101, 00001001110001000000
00010100110001110010, 00010000010001011101, 00001001110001000000
00010100101111001010, 00010000010001001101, 00001001110001000000
00010100101100100010, 00010000010000111100, 00001001110001000000
00010100101001111010, 00010000010000101100, 00001001110001000000
00010100100111010011, 00010000010000011100, 00001001110001000000
00010100100100101011, 00010000010000001100, 00001001110001000000
00010100100010000011, 00010000001111111100, 00001001110001000000
00010100011111011011, 00010000001111101100, 00001001110001000000
00010100011100110100, 00010000001111011100, 00001001110001000000
00010100011010001100, 00010000001111001100, 00001001110001000000
00010100010111100100, 00010000001110111100, 00001001110001000000
00010100010100111100, 00010000001110101100, 00001001110001000000
00010100010010010101, 00010000001110011100, 00001001110001000000
00010100001111101110, 00010000001110001011, 00001001110001000000
00010100001101000111, 00010000001101111010, 00001001110001000000
00010100001010100000, 00010000001101101001, 00001001110001000000
00010100000111111001, 00010000001101011000, 00001001110001000000
00010100000101010010, 00010000001101000111, 00001001110001000000
00010100000010101011, 00010000001100110110, 00001001110001000000
00010100000000000101, 00010000001100100101, 00001001110001000000
00010011111101011110, 00010000001100010100, 00001001110001000000
00010011111010110111, 00010000001100000011, 00001001110001000000
00010011111000010000, 00010000001011110010, 00001001110001000000
00010011110101101001, 00010000001011100010, 00001001110001000000
00010011110011000010, 00010000001011010001, 00001001110001000000
00010011110000011011, 00010000001011000000, 00001001110001000000
00010011101101110100, 00010000001010101111, 00001001110001000000
00010011101011001110, 00010000001010011110, 00001001110001000000
00010011100011010001, 00010000001100001100, 00001001110001000000
00010011011011010101, 00010000001101111010, 00001001110001000000
00010011010011011001, 00010000001111101000, 00001001110001000000
00010011001011011100, 00010000010001010111, 00001001110001000000
00010011000011100000, 00010000010011000101, 00001001110001000000
00010010111011100100, 00010000010100110011, 00001001110001000000
00010010110011100111, 00010000010110100001, 00001001110001000000
00010010101011101011, 00010000011000001111, 00001001110001000000
00010010100011101111, 00010000011001111101, 00001001110001000000
00010010011011110010, 00010000011011101100, 00001001110001000000
00010010010011110110, 00010000011101011010, 00001001110001000000
00010010001011111010, 00010000011111001000, 00001001110001000000
00010010000011111101, 00010000100000110110, 00001001110001000000
00010001111100000001, 00010000100010100100, 00001001110001000000
00010001110100000101, 00010000100100010011, 00001001110001000000
00010001101100110010, 00010000100110010110, 00001001110001000000
00010001100101011110, 00010000101000011010, 00001001110001000000
00010001011110001011, 00010000101010011110, 00001001110001000000
00010001010110111000, 00010000101100100010, 00001001110001000000
00010001001111100100, 00010000101110100110, 00001001110001000000
00010001001000010001, 00010000110000101010, 00001001110001000000
00010001000000111110, 00010000110010101110, 00001001110001000000
00010000111001101010, 00010000110100110010, 00001001110001000000
00010000110010010111, 00010000110110110101, 00001001110001000000
00010000101011000100, 00010000111000111001, 00001001110001000000
00010000100011110000, 00010000111010111101, 00001001110001000000
00010000011100011101, 00010000111101000001, 00001001110001000000
00010000010101001010, 00010000111111000101, 00001001110001000000
00010000001101110110, 00010001000001001001, 00001001110001000000
00010000000110100011, 00010001000011001101, 00001001110001000000
00010000000000000101, 00010001000101101010, 00001001110001000000
00001111111001101000, 00010001001000000111, 00001001110001000000
00001111110011001010, 00010001001010100101, 00001001110001000000
00001111101100101100, 00010001001101000010, 00001001110001000000
00001111100110001110, 00010001001111100000, 00001001110001000000
00001111011111110001, 00010001010001111101, 00001001110001000000
00001111011001010011, 00010001010100011010, 00001001110001000000
00001111010010110101, 00010001010110111000, 00001001110001000000
00001111001100010111, 00010001011001010101, 00001001110001000000
00001111000101111010, 00010001011011110010, 00001001110001000000
00001110111111011100, 00010001011110010000, 00001001110001000000
00001110111000111110, 00010001100000101101, 00001001110001000000
00001110110010100000, 00010001100011001011, 00001001110001000000
00001110101100000011, 00010001100101101000, 00001001110001000000
00001110100101100101, 00010001101000000101, 00001001110001000000
00001110100000001100, 00010001101010111111, 00001001110001000000
00001110011010110100, 00010001101101111001, 00001001110001000000
00001110010101011100, 00010001110000110011, 00001001110001000000
00001110010000000011, 00010001110011101101, 00001001110001000000
00001110001010101011, 00010001110110100110, 00001001110001000000
00001110000101010010, 00010001111001100000, 00001001110001000000
00001101111111111010, 00010001111100011010, 00001001110001000000
00001101111010100001, 00010001111111010100, 00001001110001000000
00001101110101001001, 00010010000010001110, 00001001110001000000
00001101101111110001, 00010010000101000111, 00001001110001000000
