X,Y,Z
00001001110001000000, 00010010010011111000, 00011010110110110000
00001001110010000100, 00010010011000010010, 00011010110110110000
00001001110011001000, 00010010011100101100, 00011010110110110000
00001001110100001100, 00010010100001000111, 00011010110110110000
00001001110101010000, 00010010100101100001, 00011010110110110000
00001001110110010100, 00010010101001111100, 00011010110110110000
00001001110111011000, 00010010101110010110, 00011010110110110000
00001001111000011100, 00010010110010110001, 00011010110110110000
00001001111001100000, 00010010110111001011, 00011010110110110000
00001001111010100100, 00010010111011100101, 00011010110110110000
00001001111011101000, 00010011000000000000, 00011010110110110000
00001001111100101100, 00010011000100011010, 00011010110110110000
00001001111101110000, 00010011001000110101, 00011010110110110000
00001001111110110100, 00010011001101001111, 00011010110110110000
00001001111111111000, 00010011010001101010, 00011010110110110000
00001010000000111100, 00010011010110000100, 00011010110110110000
00001010000100000000, 00010011011010001001, 00011010110110110000
00001010000111000100, 00010011011110001110, 00011010110110110000
00001010001010001000, 00010011100010010011, 00011010110110110000
00001010001101001100, 00010011100110011000, 00011010110110110000
00001010010000010000, 00010011101010011101, 00011010110110110000
00001010010011010101, 00010011101110100010, 00011010110110110000
00001010010110011001, 00010011110010100111, 00011010110110110000
00001010011001011101, 00010011110110101100, 00011010110110110000
00001010011100100001, 00010011111010110001, 00011010110110110000
00001010011111100101, 00010011111110110101, 00011010110110110000
00001010100010101010, 00010100000010111010, 00011010110110110000
00001010100101101110, 00010100000110111111, 00011010110110110000
00001010101000110010, 00010100001011000100, 00011010110110110000
00001010101011110110, 00010100001111001001, 00011010110110110000
00001010101110111010, 00010100010011001110, 00011010110110110000
00001010110011101011, 00010100010110110001, 00011010110110110000
00001010111000011100, 00010100011010010011, 00011010110110110000
00001010111101001100, 00010100011101110101, 00011010110110110000
00001011000001111101, 00010100100001011000, 00011010110110110000
00001011000110101101, 00010100100100111010, 00011010110110110000
00001011001011011110, 00010100101000011100, 00011010110110110000
00001011010000001111, 00010100101011111111, 00011010110110110000
00001011010100111111, 00010100101111100001, 00011010110110110000
